broker_consultancy,Rent,Builtup Area,appartment_type,Deposit,Bathrooms,Facing,Address,Apartment Name,Status
"Seller
VERIFIED OWNER","8,500",500,2,No Deposit,1 bathrooms,NorthWest facing,"Uttam Nagar, Delhi",,Semi-Furnished
"Seller
VERIFIED OWNER","48,000",1020,3,No Deposit,3 bathrooms,South facing,"Model Town, Delhi",,Furnished
"Seller
VERIFIED OWNER","20,000",810,2,No Deposit,2 bathrooms,,"Sector 13 Rohini, Delhi",Reputed Builder GS Apartment,Unfurnished
"Seller
VERIFIED OWNER","11,000",750,3,No Deposit,1 bathrooms,,"DLF Farms, Delhi",,Semi-Furnished
"Seller
VERIFIED OWNER","20,000",1300,3,No Deposit,2 bathrooms,,"laxmi nagar, Delhi",,Furnished
"Seller
VERIFIED OWNER","35,000",1200,3,No Deposit,2 bathrooms,,"Swasthya Vihar, Delhi",,Furnished
"Seller
VERIFIED OWNER","39,000",1100,3,No Deposit,2 bathrooms,,"Janakpuri, Delhi",,Semi-Furnished
"Neon Properties
AGENT
-","65,000",1500,2,No Deposit,2 bathrooms,NorthEast facing,"Neeti Bagh, Delhi",,Semi-Furnished
"MAA KALKA PROPERTIES
AGENT
-","45,000",900,2,No Deposit,2 bathrooms,,"Lajpat Nagar II, Delhi",,Furnished
"Mahadev Renting Expert
AGENT
-","32,500",1100,3,No Deposit,2 bathrooms,,"Janakpuri, Delhi",DDA Flat Janakpuri,Semi-Furnished
"World Wide Infra
AGENT
-","90,000",2800,4,No Deposit,4 bathrooms,,"Vasant Kunj, Delhi",DDA DDA Sector B Pocket 9,Semi-Furnished
"Rana Property
AGENT
-","25,000",950,3,No Deposit,2 bathrooms,,"Govindpuri, Delhi",,Semi-Furnished
"R M Reality
AGENT
-",1.75 L,2700,4,No Deposit,4 bathrooms,,"Greater Kailash, Delhi",,Semi-Furnished
"Gaurav Dahiya
AGENT
-","28,000",1100,3,No Deposit,2 bathrooms,,"Mansa Ram Park, Delhi",,Semi-Furnished
"Residence Hub
AGENT
-","45,000",1500,3,No Deposit,3 bathrooms,,"Freedom Fighters Enclave, Delhi",,Furnished
"Modern Spaces
AGENT
-","85,000",2000,3,No Deposit,4 bathrooms,,"Vasant Kunj, Delhi",DDA Flats Vasant Kunj,Unfurnished
"CK Home Solutions
AGENT
-","15,000",850,2,"15,000 deposit",2 bathrooms,,"Shahdara, Delhi",,Semi-Furnished
"Access India
AGENT
-",2.75 L,3200,3,8.25 L deposit,4 bathrooms,,"Sundar Nagar, Delhi",,Semi-Furnished
"Sweet Homes Real Estate
AGENT
-","50,000",2000,4,No Deposit,4 bathrooms,South facing,"Saket, Delhi",,Semi-Furnished
"Adarsh Associates
AGENT
-","67,000",1000,2,No Deposit,2 bathrooms,,"Sarvodaya Enclave, Delhi",,Furnished
